pk_anuncio_id,marca,modelo,precio,combustible,anyo_vehiculo,kilometraje,potencia,num_puertas,num_plazas,tipo_cambio,tipo_vehiculo,cilindrada_motor,color,provincia,etiqueta_eco,origen_anuncio,fecha_publicacion,anyomes_publicacion,fecha_carga,url
104304,TOYOTA,4Runner,6850.0,Diésel,1995.0,407000,125.0,5,,Manual,,,verde,Sevilla,,dataset kaggle,2020-11-10,202011,2021-01-15 00:00:00,3b270a9384f7c0098dbcc5f71acdc980
104305,HYUNDAI,i30,9990.0,Diésel,2015.0,137477,90.0,5,,Manual,,,blanco,Alicante,,dataset kaggle,2020-12-22,202012,2021-01-15 00:00:00,a40381281a44943103f520378103bff2
104306,HYUNDAI,TUCSON,35590.0,Híbrido,2020.0,1000,185.0,5,,Automático,,,blanco,Madrid,,dataset kaggle,2021-01-13,202101,2021-01-15 00:00:00,80d1af7e33cee540eb2dccea4a01406c
104307,HYUNDAI,Kona,36990.0,Eléctrico,2020.0,3940,204.0,5,,Automático,,,rojo,Asturias,,dataset kaggle,2021-01-14,202101,2021-01-15 00:00:00,1efa123336e1b1dc08110a3aeeee1d93
104308,TOYOTA,Corolla,1000.0,Gasolina,1989.0,165000,,5,,Manual,,,gris,Tenerife,,dataset kaggle,2020-12-10,202012,2021-01-15 00:00:00,187a9c0606c161a6c8c6c9819be9ffc5
104309,HYUNDAI,i30,5490.0,Gasolina,2010.0,110000,109.0,5,,Manual,,,gris,Madrid,,dataset kaggle,2021-01-08,202101,2021-01-15 00:00:00,256a21f608e04e1d0b78c25d428c3ce1
104310,KIA,Rio,6600.0,Gasolina,2014.0,150000,85.0,5,,Manual,,,blanco,Lleida,,dataset kaggle,2020-10-19,202010,2021-01-15 00:00:00,1d35112152e0f45c3f93d6a0af804801
104311,KIA,Rio,1500.0,Gasolina,2004.0,164000,81.0,4,,Manual,,,gris,Granada,,dataset kaggle,2020-11-10,202011,2021-01-15 00:00:00,91121385017ee4d92bfefb39cfdad12b
104312,HYUNDAI,H-1,5600.0,Diésel,2003.0,237000,140.0,4,,Manual,,,blanco,Las Palmas,,dataset kaggle,2020-11-12,202011,2021-01-15 00:00:00,65014cbf5b90cb951cc12e2f174ed55e
104313,NISSAN,Micra,9395.0,Gasolina,2017.0,6400,71.0,5,,Manual,,,naranja,Tenerife,,dataset kaggle,2020-12-24,202012,2021-01-15 00:00:00,5268c3bc185c2aeb651f7984b73c2471
104314,NISSAN,Cabstar,13000.0,Diésel,2005.0,55250,105.0,2,,Manual,,,blanco,Alicante,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,ab14037e3373170bee420fc65e9aabe6
104315,HYUNDAI,i40,6500.0,Diésel,2015.0,65000,136.0,4,,Automático,,,azul,Tenerife,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,91c98062530f541d4f17abf6699be630
104316,NISSAN,QASHQAI,18900.0,Diésel,2018.0,13000,130.0,5,,Manual,,,negro,Tarragona,,dataset kaggle,2020-12-20,202012,2021-01-15 00:00:00,6a7ef286210a4f8e34f133a3f418f651
104317,TOYOTA,Rav4,9900.0,Diésel,2011.0,190000,150.0,5,,Manual,,,gris,Jaén,,dataset kaggle,2020-12-31,202012,2021-01-15 00:00:00,a6e779de946dda6f161bdf689fd93cfc
104318,NISSAN,X-TRAIL,27900.0,Diésel,2020.0,12,150.0,5,,Manual,,,negro,A Coruña,,dataset kaggle,2021-01-10,202101,2021-01-15 00:00:00,de535f6baaea837a9e06c22fb03bfc3d
104319,TOYOTA,Auris,5850.0,Diésel,2011.0,186000,90.0,5,,Manual,,,gris,Madrid,,dataset kaggle,2021-01-06,202101,2021-01-15 00:00:00,f15034b42e99e2f1a16d340f7f6a5eae
104320,HYUNDAI,IONIQ,18890.0,Híbrido,2019.0,15613,141.0,5,,,,,rojo,Sevilla,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,5cd5ac3cc0501d55c3a746f452900c68
104321,TOYOTA,Yaris,11390.0,Híbrido,2016.0,80415,100.0,5,,Automático,,,blanco,Madrid,,dataset kaggle,2021-01-13,202101,2021-01-15 00:00:00,704008f96356fe4fc5270f5e01fda664
104322,NISSAN,JUKE,10985.0,Gasolina,2017.0,29995,115.0,5,,Manual,,,blanco,Las Palmas,,dataset kaggle,2021-01-14,202101,2021-01-15 00:00:00,610356783819426a0542357b77169efe
104323,TOYOTA,Yaris,12490.0,Híbrido,2016.0,38700,100.0,5,,Automático,,,rojo,Madrid,,dataset kaggle,2021-01-14,202101,2021-01-15 00:00:00,d90d90b0e736092344e3b96f06c407fe
104324,KIA,Pro Ceed,3300.0,Diésel,2008.0,230000,115.0,3,,Manual,,,negro,Madrid,,dataset kaggle,2020-12-22,202012,2021-01-15 00:00:00,ec2d1a8a42b487e230751beefcf32b97
104325,HYUNDAI,i30,5490.0,Gasolina,2012.0,120000,100.0,5,,Manual,,,blanco,Vizcaya,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,14b238c74d9382c40d27265ebbbdcca0
104326,NISSAN,QASHQAI,18590.0,Diésel,2018.0,63980,130.0,5,,Manual,,,blanco,Madrid,,dataset kaggle,2020-12-30,202012,2021-01-15 00:00:00,54dedd99ed8f9708999ac8cd62ae3e1e
104327,HYUNDAI,i10,8950.0,Gasolina,2019.0,16925,66.0,5,,Manual,,,blanco,Alicante,,dataset kaggle,2021-01-10,202101,2021-01-15 00:00:00,4868dbf5ad31406954d8215218986b41
104328,NISSAN,Patrol,3300.0,Diésel,1993.0,280000,95.0,3,,Manual,,,blanco,Granada,,dataset kaggle,2020-11-15,202011,2021-01-15 00:00:00,6a1dde395a2f10c7d0c47ad78f483db6
104329,TOYOTA,Avensis,7890.0,Diésel,2011.0,159990,126.0,5,,Manual,,,blanco,Barcelona,,dataset kaggle,2020-12-09,202012,2021-01-15 00:00:00,e0d83907f86543c58c419f25435b0b9e
104330,NISSAN,QASHQAI,21400.0,Gasolina,2019.0,19567,160.0,5,,Manual,,,blanco,Barcelona,,dataset kaggle,2021-01-10,202101,2021-01-15 00:00:00,bb5b1c3aa1780f140aa3abbd0dbb36b4
104331,NISSAN,Patrol GR,12000.0,Diésel,1998.0,82000,130.0,3,,Manual,,,azul,Álava,,dataset kaggle,2020-11-22,202011,2021-01-15 00:00:00,4f64c87522ab87166723d42beb895a3a
104332,TOYOTA,C-HR,22200.0,Híbrido,2019.0,6805,122.0,5,,Automático,,,1g3,Las Palmas,,dataset kaggle,2020-12-15,202012,2021-01-15 00:00:00,db68d72291f25706363c39fd8cf7f5f8
104333,TOYOTA,C-HR,22990.0,Híbrido,2018.0,25606,122.0,5,,Automático,,,gris,A Coruña,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,3185c6a5da9f50380831bf7e75c848af
104334,KIA,ceed,23995.0,Diésel,2020.0,0,136.0,5,,Manual,,,blanco,Vizcaya,,dataset kaggle,2021-01-08,202101,2021-01-15 00:00:00,3fc124f4d574493b33f198af29399569
104335,NISSAN,QASHQAI,15999.0,Diésel,2016.0,52000,110.0,5,,Manual,,,blanco,Cáceres,,dataset kaggle,2020-12-17,202012,2021-01-15 00:00:00,e4cf031c94ad76774f9e4a3b6333676b
104336,TOYOTA,Prius,25100.0,Híbrido,2020.0,5000,122.0,5,,Automático,,,blanco,Lugo,,dataset kaggle,2021-01-01,202101,2021-01-15 00:00:00,3994ef918280101bbe39c80f1aa531bf
104337,TOYOTA,Corolla,19300.0,Híbrido,2020.0,8000,122.0,5,,Automático,,,gris,Madrid,,dataset kaggle,2021-01-15,202101,2021-01-15 00:00:00,7388d81320ea0fe43bc937d9f5de5d2c
104338,TOYOTA,Auris,12490.0,Híbrido,2016.0,112000,136.0,5,,Automático,,,blanco,Barcelona,,dataset kaggle,2021-01-08,202101,2021-01-15 00:00:00,304237671254a8a688c79321d61b260f
